#YY  MM DD hh mm WDIR WSPD GDR GST GTIME
#yr  mo dy hr mn degT m/s degT m/s hhmm
2012 01 02 18 50 165  5.1 156  7.2 1800
2012 01 02 19 00 167  5.8 999 99.0 9999
2012 01 02 19 10 163  7.2 999 99.0 9999
2012 01 02 19 20 162  7.0 999 99.0 9999
2012 01 02 19 30 156  6.6 999 99.0 9999
2012 01 02 19 40 156  6.2 999 99.0 9999
2012 01 02 19 50 161  5.3 158  9.8 1908
2012 01 02 20 00 162  5.3 999 99.0 9999
2012 01 02 20 10 161  5.1 999 99.0 9999
2012 01 02 20 20 164  4.9 999 99.0 9999
2012 01 02 20 30 171  5.2 999 99.0 9999
2012 01 02 20 40 177  5.5 999 99.0 9999
2012 01 02 20 50 176  5.3 171  7.2 2029
2012 01 02 21 00 177  5.2 999 99.0 9999
2012 01 02 21 10 176  5.6 999 99.0 9999
2012 01 02 21 20 175  5.5 999 99.0 9999
2012 01 02 21 30 181  5.8 999 99.0 9999
2012 01 02 21 40 180  5.5 999 99.0 9999
2012 01 02 21 50 179  5.3 177  7.2 2122
2012 01 02 22 00 171  5.6 999 99.0 9999
2012 01 02 22 10 169  6.0 999 99.0 9999
2012 01 02 22 20 177  6.0 999 99.0 9999
2012 01 02 22 30 182  5.8 999 99.0 9999
2012 01 02 22 40 176  6.6 999 99.0 9999
2012 01 02 22 50 177  7.0 184  8.9 2242
2012 01 02 23 00 179  5.0 999 99.0 9999
2012 01 02 23 10 183  5.9 999 99.0 9999
2012 01 02 23 20 187  5.5 999 99.0 9999
2012 01 02 23 30 193  5.3 999 99.0 9999
2012 01 02 23 40 186  5.4 999 99.0 9999
2012 01 02 23 50 188  5.7 179  8.4 2347
2012 01 03 00 00 187  6.0 999 99.0 9999
2012 01 03 00 10 185  5.8 999 99.0 9999
2012 01 03 00 20 192  6.1 999 99.0 9999
2012 01 03 00 30 194  6.4 999 99.0 9999
2012 01 03 00 40 208  5.3 999 99.0 9999
2012 01 03 00 50 206  4.9 189  7.6 0029
2012 01 03 01 00 205  5.2 999 99.0 9999
2012 01 03 01 10 209  4.9 999 99.0 9999
2012 01 03 01 20 209  5.6 999 99.0 9999
2012 01 03 01 30 204  5.9 999 99.0 9999
2012 01 03 01 40 198  5.7 999 99.0 9999
2012 01 03 01 50 196  5.9 194  7.8 0147
2012 01 03 02 00 191  6.1 999 99.0 9999
2012 01 03 02 10 193  6.7 999 99.0 9999
2012 01 03 02 20 191  6.4 999 99.0 9999
2012 01 03 02 30 194  6.2 999 99.0 9999
2012 01 03 02 40 191  6.3 999 99.0 9999
2012 01 03 02 50 193  6.5 196  8.4 0239
2012 01 03 03 00 195  6.6 999 99.0 9999
2012 01 03 03 10 213  6.6 999 99.0 9999
2012 01 03 03 20 218  6.5 999 99.0 9999
2012 01 03 03 30 219  5.8 999 99.0 9999
2012 01 03 03 40 237  6.5 999 99.0 9999
2012 01 03 03 50 235  6.0 245  9.3 0338
2012 01 03 04 00 239  6.5 999 99.0 9999
2012 01 03 04 10 233  6.4 999 99.0 9999
2012 01 03 04 20 233  5.9 999 99.0 9999
2012 01 03 04 30 224  5.8 999 99.0 9999
2012 01 03 04 40 219  7.8 999 99.0 9999
2012 01 03 04 50 223  8.0 216 10.1 0442
2012 01 03 05 00 228  6.8 999 99.0 9999
2012 01 03 05 10 230  6.7 999 99.0 9999
2012 01 03 05 20 220  6.9 999 99.0 9999
2012 01 03 05 30 218  8.0 999 99.0 9999
2012 01 03 05 40 214  7.4 999 99.0 9999
2012 01 03 05 50 214  6.5 214  9.4 0522
2012 01 03 06 00 209  6.1 999 99.0 9999
2012 01 03 06 10 209  6.2 999 99.0 9999
2012 01 03 06 20 202  6.1 999 99.0 9999
2012 01 03 06 30 199  5.9 999 99.0 9999
2012 01 03 06 40 193  6.1 999 99.0 9999
2012 01 03 06 50 189  6.2 204  7.6 0604
2012 01 03 07 00 185  6.1 999 99.0 9999
2012 01 03 07 10 185  6.3 999 99.0 9999
2012 01 03 07 20 185  6.6 999 99.0 9999
2012 01 03 07 30 182  6.5 999 99.0 9999
2012 01 03 07 40 183  6.3 999 99.0 9999
2012 01 03 07 50 184  6.2 182  8.3 0712
2012 01 03 08 00 184  6.4 999 99.0 9999
2012 01 03 08 10 189  5.8 999 99.0 9999
2012 01 03 08 20 190  5.8 999 99.0 9999
2012 01 03 08 30 191  6.0 999 99.0 9999
2012 01 03 08 40 191  5.9 999 99.0 9999
2012 01 03 08 50 192  5.5 183  8.3 0758
2012 01 03 09 00 189  5.8 999 99.0 9999
2012 01 03 09 10 187  5.1 999 99.0 9999
2012 01 03 09 20 182  5.8 999 99.0 9999
2012 01 03 09 30 179  5.7 999 99.0 9999
2012 01 03 09 40 177  5.7 999 99.0 9999
2012 01 03 09 50 178  5.3 175  7.4 0920
2012 01 03 10 00 182  5.4 999 99.0 9999
2012 01 03 10 10 184  5.5 999 99.0 9999
2012 01 03 10 20 183  7.2 999 99.0 9999
2012 01 03 10 30 188  7.6 999 99.0 9999
2012 01 03 10 40 195  7.6 999 99.0 9999
2012 01 03 10 50 192  6.9 187  9.4 1017
2012 01 03 11 00 192  6.7 999 99.0 9999
2012 01 03 11 10 192  6.2 999 99.0 9999
2012 01 03 11 20 181  6.3 999 99.0 9999
2012 01 03 11 30 186  5.8 999 99.0 9999
2012 01 03 11 40 187  5.7 999 99.0 9999
2012 01 03 11 50 192  6.3 190  8.4 1145
2012 01 03 12 00 192  6.1 999 99.0 9999
2012 01 03 12 10 191  5.8 999 99.0 9999
2012 01 03 12 20 195  5.9 999 99.0 9999
2012 01 03 12 30 196  6.3 999 99.0 9999
2012 01 03 12 40 182  6.2 999 99.0 9999
2012 01 03 12 50 177  6.4 175  7.8 1246
2012 01 03 13 00 182  6.4 999 99.0 9999
2012 01 03 13 10 183  6.5 999 99.0 9999
2012 01 03 13 20 184  5.8 999 99.0 9999
2012 01 03 13 30 183  5.4 999 99.0 9999
2012 01 03 13 40 189  5.6 999 99.0 9999
2012 01 03 13 50 184  6.1 182  7.9 1256
2012 01 03 14 00 181  5.8 999 99.0 9999
2012 01 03 14 10 181  5.5 999 99.0 9999
2012 01 03 14 20 187  5.0 999 99.0 9999
2012 01 03 14 30 185  5.4 999 99.0 9999
2012 01 03 14 40 194  4.6 999 99.0 9999
2012 01 03 14 50 216  4.0 178  7.1 1351
2012 01 03 15 00 224  4.4 999 99.0 9999
2012 01 03 15 10 229  4.3 999 99.0 9999
2012 01 03 15 20 226  4.0 999 99.0 9999
2012 01 03 15 30 217  3.5 999 99.0 9999
2012 01 03 15 40 225  3.1 999 99.0 9999
2012 01 03 15 50 227  3.3 226  5.3 1457
2012 01 03 16 00 231  3.3 999 99.0 9999
2012 01 03 16 10 226  3.4 999 99.0 9999
2012 01 03 16 20 229  3.2 999 99.0 9999
2012 01 03 16 30 235  2.9 999 99.0 9999
2012 01 03 16 40 249  3.2 999 99.0 9999
2012 01 03 16 50 240  2.8 229  4.6 1603
2012 01 03 17 00 231  3.1 999 99.0 9999
2012 01 03 17 10 243  3.6 999 99.0 9999
2012 01 03 17 20 249  3.6 999 99.0 9999
2012 01 03 17 30 240  4.4 999 99.0 9999
2012 01 03 17 40 233  3.7 999 99.0 9999
2012 01 03 17 50 230  3.7 241  5.4 1726
2012 01 03 18 00 225  4.0 999 99.0 9999
2012 01 03 18 10 229  3.6 999 99.0 9999
2012 01 03 18 20 226  3.7 999 99.0 9999
2012 01 03 18 30 221  3.4 999 99.0 9999
2012 01 03 18 40 219  3.3 999 99.0 9999
2012 01 03 18 50 217  3.5 222  4.6 1756
2012 01 03 19 00 211  3.6 999 99.0 9999
2012 01 03 19 10 208  3.9 999 99.0 9999
2012 01 03 19 20 210  3.9 999 99.0 9999
2012 01 03 19 30 208  4.0 999 99.0 9999
2012 01 03 19 40 212  4.2 999 99.0 9999
2012 01 03 19 50 210  4.1 206  5.2 1945
2012 01 03 20 00 207  3.9 999 99.0 9999
2012 01 03 20 10 208  4.3 999 99.0 9999
2012 01 03 20 20 203  4.5 999 99.0 9999
2012 01 03 20 30 206  4.4 999 99.0 9999
2012 01 03 20 40 203  4.3 999 99.0 9999
2012 01 03 20 50 199  4.2 195  5.4 2013
2012 01 03 21 00 211  4.0 999 99.0 9999
2012 01 03 21 10 214  3.6 999 99.0 9999
2012 01 03 21 20 204  4.0 999 99.0 9999
2012 01 03 21 30 206  3.5 999 99.0 9999
2012 01 03 21 40 214  3.4 999 99.0 9999
2012 01 03 21 50 213  3.5 200  4.8 2114
2012 01 03 22 00 214  3.5 999 99.0 9999
2012 01 03 22 10 206  3.6 999 99.0 9999
2012 01 03 22 20 218  3.3 999 99.0 9999
2012 01 03 22 30 219  3.2 999 99.0 9999
2012 01 03 22 40 222  3.0 999 99.0 9999
2012 01 03 22 50 226  3.4 206  4.3 2209
2012 01 03 23 00 234  3.2 999 99.0 9999
2012 01 03 23 10 227  3.3 999 99.0 9999
2012 01 03 23 20 233  2.8 999 99.0 9999
2012 01 03 23 30 235  2.9 999 99.0 9999
2012 01 03 23 40 232  2.8 999 99.0 9999
2012 01 03 23 50 238  2.8 225  4.0 2304
2012 01 04 00 00 234  2.8 999 99.0 9999
2012 01 04 00 10 239  2.7 999 99.0 9999
2012 01 04 00 20 239  2.8 999 99.0 9999
2012 01 04 00 30 233  2.9 999 99.0 9999
2012 01 04 00 40 223  3.1 999 99.0 9999
2012 01 04 00 50 226  3.1 205  4.1 0036
2012 01 04 01 00 223  3.2 999 99.0 9999
2012 01 04 01 10 227  3.3 999 99.0 9999
2012 01 04 01 20 224  3.2 999 99.0 9999
2012 01 04 01 30 229  3.2 999 99.0 9999
2012 01 04 01 40 233  3.1 999 99.0 9999
2012 01 04 01 50 244  3.0 234  4.3 0100
2012 01 04 02 00 248  3.2 999 99.0 9999
2012 01 04 02 10 250  2.8 999 99.0 9999
2012 01 04 02 20 255  3.1 999 99.0 9999
2012 01 04 02 30 255  2.8 999 99.0 9999
2012 01 04 02 40 257  2.8 999 99.0 9999
2012 01 04 02 50 254  2.9 266  3.9 0217
2012 01 04 03 00 259  2.8 999 99.0 9999
2012 01 04 03 10 262  2.9 999 99.0 9999
2012 01 04 03 20 271  2.9 999 99.0 9999
2012 01 04 03 30 273  2.7 999 99.0 9999
2012 01 04 03 40 274  2.9 999 99.0 9999
2012 01 04 03 50 270  2.3 279  4.1 0312
2012 01 04 04 00 272  2.5 999 99.0 9999
2012 01 04 04 10 274  2.4 999 99.0 9999
2012 01 04 04 20 269  2.3 999 99.0 9999
2012 01 04 04 30 277  2.4 999 99.0 9999
2012 01 04 04 40 277  2.4 999 99.0 9999
2012 01 04 04 50 275  2.1 278  4.1 0359
2012 01 04 05 00 291  2.3 999 99.0 9999
2012 01 04 05 10 285  2.4 999 99.0 9999
2012 01 04 05 20 295  2.4 999 99.0 9999
2012 01 04 05 30 299  2.5 999 99.0 9999
2012 01 04 05 40 306  2.5 999 99.0 9999
2012 01 04 05 50 314  2.6 299  4.6 0524
2012 01 04 06 00 323  2.7 999 99.0 9999
2012 01 04 06 10 324  3.0 999 99.0 9999
2012 01 04 06 20 321  2.7 999 99.0 9999
2012 01 04 06 30 331  2.7 999 99.0 9999
2012 01 04 06 40 332  3.0 999 99.0 9999
2012 01 04 06 50 321  2.9 328  5.5 0632
2012 01 04 07 00 324  2.5 999 99.0 9999
2012 01 04 07 10 326  2.0 999 99.0 9999
2012 01 04 07 20 339  2.2 999 99.0 9999
2012 01 04 07 30 338  2.2 999 99.0 9999
2012 01 04 07 40 350  1.9 999 99.0 9999
2012 01 04 07 50 350  2.1 319  4.3 0652
2012 01 04 08 00 348  2.4 999 99.0 9999
2012 01 04 08 10 352  3.1 999 99.0 9999
2012 01 04 08 20  13  5.4 999 99.0 9999
2012 01 04 08 30  18  5.8 999 99.0 9999
2012 01 04 08 40  23  5.6 999 99.0 9999
2012 01 04 08 50  24  5.2   8  7.2 0814
2012 01 04 09 00  30  5.5 999 99.0 9999
2012 01 04 09 10  32  6.0 999 99.0 9999
2012 01 04 09 20  31  5.7 999 99.0 9999
2012 01 04 09 30  28  6.3 999 99.0 9999
2012 01 04 09 40  26  6.5 999 99.0 9999
2012 01 04 09 50  29  6.3  23  8.1 0933
2012 01 04 10 00  29  5.9 999 99.0 9999
2012 01 04 10 10  31  5.6 999 99.0 9999
2012 01 04 10 20  26  5.5 999 99.0 9999
2012 01 04 10 30  28  5.6 999 99.0 9999
2012 01 04 10 40  30  5.7 999 99.0 9999
2012 01 04 10 50  30  5.9  24  7.2 1048
2012 01 04 11 00  33  5.5 999 99.0 9999
2012 01 04 11 10  28  5.6 999 99.0 9999
2012 01 04 11 20  30  5.7 999 99.0 9999
2012 01 04 11 30  23  5.7 999 99.0 9999
2012 01 04 11 40  28  5.6 999 99.0 9999
2012 01 04 11 50  27  5.5  25  7.1 1149
2012 01 04 12 00  28  5.6 999 99.0 9999
2012 01 04 12 10  28  5.9 999 99.0 9999
2012 01 04 12 20  28  6.2 999 99.0 9999
2012 01 04 12 30  24  7.1 999 99.0 9999
2012 01 04 12 40  24  7.3 999 99.0 9999
2012 01 04 12 50  25  7.5  23  9.4 1242
2012 01 04 13 00  25  7.6 999 99.0 9999
2012 01 04 13 10  29  7.4 999 99.0 9999
2012 01 04 13 20  27  7.3 999 99.0 9999
2012 01 04 13 30  28  7.1 999 99.0 9999
2012 01 04 13 40  26  7.3 999 99.0 9999
2012 01 04 13 50  23  7.8  22  9.3 1250
2012 01 04 14 00  21  8.0 999 99.0 9999
2012 01 04 14 10  27  7.5 999 99.0 9999
2012 01 04 14 20  36  7.6 999 99.0 9999
2012 01 04 14 30  41  7.3 999 99.0 9999
2012 01 04 14 40  37  7.3 999 99.0 9999
2012 01 04 14 50  33  7.2  13  9.6 1358
2012 01 04 15 00  35  6.8 999 99.0 9999
2012 01 04 15 10  45  6.6 999 99.0 9999
2012 01 04 15 20  52  6.8 999 99.0 9999
2012 01 04 15 30  55  7.3 999 99.0 9999
2012 01 04 15 40  46  7.5 999 99.0 9999
2012 01 04 15 50  46  7.8  46  9.4 1545
2012 01 04 16 00  45  7.9 999 99.0 9999
2012 01 04 16 10  46  7.7 999 99.0 9999
2012 01 04 16 20  45  7.8 999 99.0 9999
2012 01 04 16 30  44  7.8 999 99.0 9999
2012 01 04 16 40  37  7.9 999 99.0 9999
