Date,HomeTeam,HomeAbbr,HomeTeamScore,VisitorScore,HomeGoalDiff,VisitorTeam,VisitorAbbr,HomeWin,Draw,HomeLoss,HomePoints,VisitorPoints,HomeTimeZone,VisitorTimeZone,VisitorTimeZoneDiff,HomeConf,VisitorConf,HomeLat,HomeLong,VisitorLat,VisitorLong,NauticalMiles,HomeTeamSalary,HomeTeamAttendance,HomeTeamCapacity,FractionFull
5/16/2012,D.C. United,DCU,2,0,2,Colorado Rapids,ColRa,1,0,0,3,0,5,7,2,5,7,0.678060414,-1.344484719,0.693768378,-1.830274427,1288,4190000,13846,19467,0.711254944
5/19/2012,Chivas USA,Chiv,1,0,1,Los Angeles Galaxy,LAGxy,1,0,0,3,0,8,8,0,8,8,0.592247811,-2.066469834,0.592247811,-2.066469834,0,3230000,13056,18800,0.694468085
5/19/2012,Colorado Rapids,ColRa,2,2,0,Sporting Kansas City,SKC,0,1,0,1,1,7,6,-1,7,6,0.693768378,-1.830274427,0.682715208,-1.651662667,476,3430000,15175,18086,0.839046777
5/19/2012,D.C. United,DCU,3,1,2,Toronto FC,Tor,1,0,0,3,0,5,5,0,5,5,0.678060414,-1.344484719,0.762417413,-1.389863279,313,4190000,13846,19467,0.711254944
5/19/2012,FC Dallas,FCDal,1,1,0,Philadelphia Union,Phil,0,1,0,1,1,6,5,-1,6,5,0.573340659,-1.690351381,0.696094902,-1.313360262,1122,3450000,14199,20500,0.692634146
5/19/2012,Montreal Impact,Mntrl,1,2,-1,New York Red Bulls,NY,0,0,1,0,3,5,5,0,5,5,0.793543615,-1.287180323,0.711802865,-1.290962452,281,3030000,22772,20341,1.119512315
5/19/2012,New England Revolution,NE,2,2,0,Houston Dynamo,Hou,0,1,0,1,1,5,6,1,5,6,0.739438408,-1.239764964,0.523017581,-1.664171442,1385,3260000,14001,20000,0.70005
5/19/2012,San Jose Earthquakes,SJE,1,1,0,Columbus Crew,Colum,0,1,0,1,1,8,5,-3,8,5,0.652171946,-2.128132317,0.698131701,-1.44658648,1821,3210000,13293,10525,1.262992874
5/19/2012,Vancouver Whitecaps,Van,2,2,0,Seattle Sounders FC,SEA,0,1,0,1,1,8,8,0,8,8,0.860155851,-2.148797015,0.831649389,-2.134537675,103,4370000,19475,21000,0.927380952
5/20/2012,Portland Timbers,Port,2,1,1,Chicago Fire,Chi,1,0,0,3,0,8,6,-2,8,6,0.795870139,-2.139773663,0.729256157,-1.531526419,1517,4160000,20438,20438,1
5/23/2012,Chicago Fire,Chi,2,1,1,FC Dallas,FCDal,1,0,0,3,0,6,6,0,6,6,0.729256157,-1.531526419,0.573340659,-1.690351381,689,3230000,16407,20000,0.82035
5/23/2012,Los Angeles Galaxy,LAGxy,2,3,-1,San Jose Earthquakes,SJE,0,0,1,0,3,8,8,0,8,8,0.592247811,-2.066469834,0.652171946,-2.128132317,268,12630000,23136,27000,0.856888889
5/23/2012,New York Red Bulls,NY,1,1,0,Chivas USA,Chiv,0,1,0,1,1,5,8,3,5,8,0.711802865,-1.290962452,0.592247811,-2.066469834,2135,12960000,18281,25000,0.73124
5/23/2012,Seattle Sounders FC,SEA,0,2,-2,Columbus Crew,Colum,0,0,1,0,3,8,5,-3,8,5,0.831649389,-2.134537675,0.698131701,-1.44658648,1746,3980000,43104,38500,1.119584416
5/26/2012,Chivas USA,Chiv,1,1,0,Seattle Sounders FC,SEA,0,1,0,1,1,8,8,0,8,8,0.592247811,-2.066469834,0.831649389,-2.134537675,842,3230000,13056,18800,0.694468085
5/26/2012,Colorado Rapids,ColRa,3,2,1,Montreal Impact,Mntrl,1,0,0,3,0,7,5,-2,7,5,0.693768378,-1.830274427,0.793543615,-1.287180323,1407,3430000,15175,18086,0.839046777
5/26/2012,Columbus Crew,Colum,2,1,1,Chicago Fire,Chi,1,0,0,3,0,5,6,1,5,6,0.698131701,-1.44658648,0.729256157,-1.531526419,245,3330000,14397,20145,0.714668652
5/26/2012,D.C. United,DCU,3,2,1,New England Revolution,NE,1,0,0,3,0,5,5,0,5,5,0.678060414,-1.344484719,0.739438408,-1.239764964,345,4190000,13846,19467,0.711254944
5/26/2012,Houston Dynamo,Hou,2,1,1,Los Angeles Galaxy,LAGxy,1,0,0,3,0,6,8,2,6,8,0.523017581,-1.664171442,0.592247811,-2.066469834,1195,3000000,20946,22000,0.952090909
5/26/2012,Portland Timbers,Port,1,1,0,Vancouver Whitecaps,Van,0,1,0,1,1,8,8,0,8,8,0.795870139,-2.139773663,0.860155851,-2.148797015,222,4160000,20438,20438,1
5/26/2012,Real Salt Lake,RSL,3,2,1,FC Dallas,FCDal,1,0,0,3,0,7,6,-1,7,6,0.71151314,-1.954192804,0.573340659,-1.690351381,866,3520000,19087,20213,0.944293277
5/26/2012,Toronto FC,Tor,1,0,1,Philadelphia Union,Phil,1,0,0,3,0,5,5,0,5,5,0.762417413,-1.389863279,0.696094902,-1.313360262,301,8250000,18155,21140,0.858798486
5/27/2012,Sporting Kansas City,SKC,2,1,1,San Jose Earthquakes,SJE,1,0,0,3,0,6,8,2,6,8,0.682715208,-1.651662667,0.652171946,-2.128132317,1286,3120000,19404,18467,1.050739156
6/2/2012,New England Revolution,NE,2,0,2,Chicago Fire,Chi,1,0,0,3,0,5,6,1,5,6,0.739438408,-1.239764964,0.729256157,-1.531526419,744,3260000,14001,20000,0.70005
6/10/2012,Vancouver Whitecaps,Van,3,1,2,Houston Dynamo,Hou,1,0,0,3,0,8,6,-2,8,6,0.860155851,-2.148797015,0.523017581,-1.664171442,1711,4370000,19475,21000,0.927380952
6/16/2012,Chivas USA,Chiv,0,3,-3,Real Salt Lake,RSL,0,0,1,0,3,8,7,-1,8,7,0.592247811,-2.066469834,0.71151314,-1.954192804,512,3230000,13056,18800,0.694468085
6/16/2012,Houston Dynamo,Hou,2,1,1,FC Dallas,FCDal,1,0,0,3,0,6,6,0,6,6,0.523017581,-1.664171442,0.573340659,-1.690351381,189,3000000,20946,22000,0.952090909
6/16/2012,Montreal Impact,Mntrl,4,1,3,Seattle Sounders FC,SEA,1,0,0,3,0,5,8,3,5,8,0.793543615,-1.287180323,0.831649389,-2.134537675,1974,3030000,22772,20341,1.119512315
