id,date,stagnant,Caline1.5,caline3
FS001,2012-9-15,113,0.1964,0.2786
FS001,2012-9-29,52,0.1811,0.2383
FS001,2012-10-13,38,0.1273,0.2064
FS001,2012-10-27,46,0.2181,0.3068
FS001,2012-11-10,35,0.141,0.2323
FS001,2012-11-24,22,0.1417,0.2129
FS001,2012-12-8,40,0.1006,0.1634
FS002,2012-8-18,52,0.2623,0.3016
FS002,2012-9-1,42,0.0958,0.153
FS002,2012-9-15,113,0.307,0.3773
FS002,2012-9-29,52,0.1576,0.2112
FS002,2012-10-13,38,0.2703,0.311
FS002,2012-10-27,46,0.2001,0.2638
FS002,2012-11-10,35,0.2069,0.2683
FS002,2012-11-24,22,0.204,0.2482
FS002,2012-12-8,40,0.2181,0.2579
FS003,2012-8-18,52,0.0901,0.1475
FS003,2012-9-1,42,0.0344,0.1148
FS003,2012-9-15,113,0.1085,0.2017
FS003,2012-9-29,52,0.058,0.1278
FS003,2012-10-13,38,0.0965,0.1541
FS003,2012-10-27,46,0.0702,0.1612
FS003,2012-11-10,35,0.0605,0.1258
FS003,2012-11-24,22,0.0752,0.141
FS003,2012-12-8,40,0.0757,0.127
FS004,2012-8-18,52,0.1037,0.1348
FS004,2012-9-1,42,0.1902,0.2332
FS004,2012-9-15,113,0.2011,0.2544
FS004,2012-9-29,52,0.1521,0.1928
FS004,2012-10-13,38,0.1188,0.1539
FS004,2012-10-27,46,0.1851,0.2309
FS004,2012-11-10,35,0.154,0.1974
FS004,2012-11-24,22,0.1175,0.1523
FS004,2012-12-8,40,0.0922,0.1268
FS005,2012-8-18,52,0.0733,0.1007
FS005,2012-9-1,42,0.1169,0.1545
FS005,2012-9-15,113,0.1341,0.1821
FS005,2012-9-29,52,0.0981,0.1294
FS005,2012-10-13,38,0.0688,0.0997
FS005,2012-10-27,46,0.107,0.1472
FS005,2012-11-10,35,0.0747,0.1127
FS005,2012-11-24,22,0.0783,0.1074
FS005,2012-12-8,40,0.0558,0.0857
FS006,2012-8-18,52,0.1435,0.1744
FS006,2012-9-1,42,0.2639,0.3101
FS006,2012-9-15,113,0.3256,0.3789
FS006,2012-9-29,52,0.2183,0.2597
FS006,2012-10-13,38,0.1464,0.1781
FS006,2012-10-27,46,0.2046,0.2475
FS006,2012-11-10,35,0.2039,0.2448
FS006,2012-11-24,22,0.1628,0.1984
FS006,2012-12-8,40,0.109,0.1415
FS007,2012-8-18,52,0.1443,0.1898
FS007,2012-9-1,42,0.054,0.1206
FS007,2012-9-15,113,0.1788,0.2489
FS007,2012-9-29,52,0.086,0.1462
FS007,2012-10-13,38,0.1405,0.1823
FS007,2012-10-27,46,0.0968,0.166
FS007,2012-11-10,35,0.0992,0.1477
FS007,2012-11-24,22,0.0986,0.1492
FS007,2012-12-8,40,0.1053,0.1459
FS008,2012-8-18,52,0.1012,0.126
FS008,2012-9-1,42,0.1246,0.1591
FS008,2012-9-15,113,0.1671,0.21
